# ell TT
350 0.00330846
450 0.00236612
550 0.00187053
650 0.00150977
750 0.00126968
850 0.00110078
950 0.00097398
1050 0.000871186
1150 0.000794159
1250 0.000725845
1350 0.000674339
1450 0.000632611
1550 0.000595235
1650 0.000563358
1750 0.000539542
1850 0.000513546
1950 0.000492836
2050 0.000473874
2150 0.000456684
2250 0.000443287
2350 0.000428416
2450 0.000416922
2550 0.000408042
2650 0.000398244
2750 0.000389542
2850 0.000379798
2950 0.000372693
3050 0.000365419
3150 0.000360185
3250 0.000355551
3350 0.000348954
3450 0.000342837
3550 0.000336927
3650 0.000333178
3750 0.000328667
3850 0.000325361
3950 0.000321767
4050 0.000317272
4150 0.000314113
4250 0.000310517
4350 0.000307584
4450 0.000304435
