# ell TT EE TE
350 0.000344493 0 0
450 0.000230572 0 0
550 0.000169616 0 0
650 0.00013055 0 0
750 0.000105249 0 0
850 8.70231e-05 0 0
950 7.36867e-05 0 0
1050 6.32472e-05 0 0
1150 5.51391e-05 0 0
1250 4.86265e-05 0 0
1350 4.34218e-05 0 0
1450 3.91964e-05 0 0
1550 3.55786e-05 0 0
1650 3.24962e-05 0 0
1750 2.9983e-05 0 0
1850 2.76935e-05 0 0
1950 2.58208e-05 0 0
2050 2.41546e-05 0 0
2150 2.26034e-05 0 0
2250 2.13727e-05 0 0
2350 2.02361e-05 0 0
2450 1.92016e-05 0 0
2550 1.8337e-05 0 0
2650 1.75521e-05 0 0
2750 1.68156e-05 0 0
2850 1.61391e-05 0 0
2950 1.55457e-05 0 0
3050 1.49656e-05 0 0
3150 1.45186e-05 0 0
3250 1.41097e-05 0 0
3350 1.36757e-05 0 0
3450 1.32601e-05 0 0
3550 1.28685e-05 0 0
3650 1.25722e-05 0 0
3750 1.22597e-05 0 0
3850 1.20096e-05 0 0
3950 1.17518e-05 0 0
4050 1.14803e-05 0 0
4150 1.12714e-05 0 0
4250 1.10403e-05 0 0
4350 1.0851e-05 0 0
4450 1.06615e-05 0 0
