# ell TT EE TE
350 0.000327166 0 0
450 0.000218463 0 0
550 0.000160509 0 0
650 0.000125584 0 0
750 0.000101622 0 0
850 8.58762e-05 0 0
950 7.49597e-05 0 0
1050 6.62236e-05 0 0
1150 5.95542e-05 0 0
1250 5.4064e-05 0 0
1350 5.01164e-05 0 0
1450 4.68259e-05 0 0
1550 4.41914e-05 0 0
1650 4.16995e-05 0 0
1750 4.00044e-05 0 0
1850 3.80669e-05 0 0
1950 3.66527e-05 0 0
2050 3.53992e-05 0 0
2150 3.41469e-05 0 0
2250 3.32025e-05 0 0
2350 3.2341e-05 0 0
2450 3.15231e-05 0 0
2550 3.09118e-05 0 0
2650 3.02616e-05 0 0
2750 2.96677e-05 0 0
2850 2.90507e-05 0 0
2950 2.85516e-05 0 0
3050 2.80479e-05 0 0
3150 2.77294e-05 0 0
3250 2.74292e-05 0 0
3350 2.69883e-05 0 0
3450 2.65728e-05 0 0
3550 2.61487e-05 0 0
3650 2.59063e-05 0 0
3750 2.55929e-05 0 0
3850 2.53955e-05 0 0
3950 2.51445e-05 0 0
4050 2.48218e-05 0 0
4150 2.46266e-05 0 0
4250 2.43382e-05 0 0
4350 2.41671e-05 0 0
4450 2.39508e-05 0 0
