# ell TT EE TE
350 0.00038328 0 0
450 0.000258631 0 0
550 0.000191522 0 0
650 0.000147206 0 0
750 0.000119007 0 0
850 9.79931e-05 0 0
950 8.23139e-05 0 0
1050 7.00604e-05 0 0
1150 6.04919e-05 0 0
1250 5.28535e-05 0 0
1350 4.65622e-05 0 0
1450 4.14782e-05 0 0
1550 3.70424e-05 0 0
1650 3.33655e-05 0 0
1750 3.02271e-05 0 0
1850 2.75259e-05 0 0
1950 2.52431e-05 0 0
2050 2.3214e-05 0 0
2150 2.13538e-05 0 0
2250 1.98607e-05 0 0
2350 1.84759e-05 0 0
2450 1.72291e-05 0 0
2550 1.61609e-05 0 0
2650 1.52274e-05 0 0
2750 1.43416e-05 0 0
2850 1.35584e-05 0 0
2950 1.28557e-05 0 0
3050 1.21731e-05 0 0
3150 1.16206e-05 0 0
3250 1.11231e-05 0 0
3350 1.06415e-05 0 0
3450 1.01746e-05 0 0
3550 9.74536e-06 0 0
3650 9.39483e-06 0 0
3750 9.04909e-06 0 0
3850 8.74454e-06 0 0
3950 8.45428e-06 0 0
4050 8.16991e-06 0 0
4150 7.93078e-06 0 0
4250 7.69228e-06 0 0
4350 7.47752e-06 0 0
4450 7.27463e-06 0 0
