# ell TT
350 0.00080855
450 0.000565137
550 0.000437828
650 0.000350172
750 0.000291657
850 0.000251125
950 0.00022128
1050 0.000197281
1150 0.000179273
1250 0.000163471
1350 0.00015167
1450 0.000142124
1550 0.000133671
1650 0.000126385
1750 0.000120991
1850 0.00011514
1950 0.000110485
2050 0.000106279
2150 0.000102413
2250 9.94089e-05
2350 9.61533e-05
2450 9.35512e-05
2550 9.15724e-05
2650 8.93855e-05
2750 8.74401e-05
2850 8.53063e-05
2950 8.3732e-05
3050 8.20888e-05
3150 8.09292e-05
3250 7.98993e-05
3350 7.84418e-05
3450 7.70618e-05
3550 7.57532e-05
3650 7.49164e-05
3750 7.38973e-05
3850 7.31831e-05
3950 7.23721e-05
4050 7.13606e-05
4150 7.06704e-05
4250 6.98626e-05
4350 6.92149e-05
4450 6.85157e-05
