# ell TT
350 0.000526695
450 0.00036129
550 0.000277296
650 0.000220954
750 0.000183374
850 0.000158218
950 0.000139957
1050 0.00012543
1150 0.000114755
1250 0.000105153
1350 9.82177e-05
1450 9.26456e-05
1550 8.76942e-05
1650 8.34327e-05
1750 8.03924e-05
1850 7.69168e-05
1950 7.41506e-05
2050 7.16694e-05
2150 6.94116e-05
2250 6.76577e-05
2350 6.56551e-05
2450 6.41265e-05
2550 6.30071e-05
2650 6.16705e-05
2750 6.05139e-05
2850 5.91767e-05
2950 5.82479e-05
3050 5.72459e-05
3150 5.65522e-05
3250 5.59447e-05
3350 5.50204e-05
3450 5.41398e-05
3550 5.33131e-05
3650 5.28007e-05
3750 5.21512e-05
3850 5.17168e-05
3950 5.12073e-05
4050 5.05455e-05
4150 5.01095e-05
4250 4.95919e-05
4350 4.91756e-05
4450 4.87196e-05
