# ell TT EE TE
350 0.000485837 0 0
450 0.000333453 0 0
550 0.000249981 0 0
650 0.000193474 0 0
750 0.000157585 0 0
850 0.000130215 0 0
950 0.000109572 0 0
1050 9.33121e-05 0 0
1150 8.05226e-05 0 0
1250 7.03596e-05 0 0
1350 6.18652e-05 0 0
1450 5.50018e-05 0 0
1550 4.89674e-05 0 0
1650 4.39884e-05 0 0
1750 3.96738e-05 0 0
1850 3.60246e-05 0 0
1950 3.29206e-05 0 0
2050 3.01604e-05 0 0
2150 2.76146e-05 0 0
2250 2.55825e-05 0 0
2350 2.37141e-05 0 0
2450 2.20087e-05 0 0
2550 2.05417e-05 0 0
2650 1.92826e-05 0 0
2750 1.80733e-05 0 0
2850 1.70274e-05 0 0
2950 1.60736e-05 0 0
3050 1.51475e-05 0 0
3150 1.43926e-05 0 0
3250 1.3722e-05 0 0
3350 1.30933e-05 0 0
3450 1.24708e-05 0 0
3550 1.18993e-05 0 0
3650 1.14329e-05 0 0
3750 1.09814e-05 0 0
3850 1.05632e-05 0 0
3950 1.0179e-05 0 0
4050 9.81011e-06 0 0
4150 9.4945e-06 0 0
4250 9.18088e-06 0 0
4350 8.90626e-06 0 0
4450 8.64163e-06 0 0
