# ell TT EE TE
350 0.000161001 0 0
450 9.89152e-05 0 0
550 6.45281e-05 0 0
650 4.7975e-05 0 0
750 3.58414e-05 0 0
850 2.87596e-05 0 0
950 2.45381e-05 0 0
1050 2.11455e-05 0 0
1150 1.84294e-05 0 0
1250 1.65943e-05 0 0
1350 1.54631e-05 0 0
1450 1.43835e-05 0 0
1550 1.38641e-05 0 0
1650 1.30643e-05 0 0
1750 1.27202e-05 0 0
1850 1.21569e-05 0 0
1950 1.19194e-05 0 0
2050 1.17342e-05 0 0
2150 1.14093e-05 0 0
2250 1.12021e-05 0 0
2350 1.12254e-05 0 0
2450 1.10509e-05 0 0
2550 1.09346e-05 0 0
2650 1.08394e-05 0 0
2750 1.07309e-05 0 0
2850 1.06551e-05 0 0
2950 1.05333e-05 0 0
3050 1.04412e-05 0 0
3150 1.04339e-05 0 0
3250 1.04025e-05 0 0
3350 1.03219e-05 0 0
3450 1.0253e-05 0 0
3550 1.01313e-05 0 0
3650 1.01075e-05 0 0
3750 1.00488e-05 0 0
3850 1.00348e-05 0 0
3950 9.98502e-06 0 0
4050 9.90293e-06 0 0
4150 9.88478e-06 0 0
4250 9.76723e-06 0 0
4350 9.77384e-06 0 0
4450 9.72634e-06 0 0
