# ell TT
350 0.00036612
450 0.00024656
550 0.000181271
650 0.000139172
750 0.000112028
850 9.19977e-05
950 7.72305e-05
1050 6.56287e-05
1150 5.64942e-05
1250 4.93234e-05
1350 4.34469e-05
1450 3.86584e-05
1550 3.4576e-05
1650 3.11025e-05
1750 2.81963e-05
1850 2.56555e-05
1950 2.35691e-05
2050 2.17117e-05
2150 1.99672e-05
2250 1.85834e-05
2350 1.73681e-05
2450 1.62119e-05
2550 1.52199e-05
2650 1.43733e-05
2750 1.35583e-05
2850 1.28545e-05
2950 1.2197e-05
3050 1.15712e-05
3150 1.10781e-05
3250 1.06251e-05
3350 1.01879e-05
3450 9.76696e-06
3550 9.3641e-06
3650 9.04856e-06
3750 8.73382e-06
3850 8.46061e-06
3950 8.19531e-06
4050 7.93384e-06
4150 7.72134e-06
4250 7.48843e-06
4350 7.3033e-06
4450 7.11943e-06
