# ell TT EE TE
350 0.00330846 0 0
450 0.00236612 0 0
550 0.00187053 0 0
650 0.00150977 0 0
750 0.00126968 0 0
850 0.00110078 0 0
950 0.00097398 0 0
1050 0.000871186 0 0
1150 0.000794159 0 0
1250 0.000725845 0 0
1350 0.000674339 0 0
1450 0.000632611 0 0
1550 0.000595235 0 0
1650 0.000563358 0 0
1750 0.000539542 0 0
1850 0.000513546 0 0
1950 0.000492836 0 0
2050 0.000473874 0 0
2150 0.000456684 0 0
2250 0.000443287 0 0
2350 0.000428416 0 0
2450 0.000416922 0 0
2550 0.000408042 0 0
2650 0.000398244 0 0
2750 0.000389542 0 0
2850 0.000379798 0 0
2950 0.000372693 0 0
3050 0.000365419 0 0
3150 0.000360185 0 0
3250 0.000355551 0 0
3350 0.000348954 0 0
3450 0.000342837 0 0
3550 0.000336927 0 0
3650 0.000333178 0 0
3750 0.000328667 0 0
3850 0.000325361 0 0
3950 0.000321767 0 0
4050 0.000317272 0 0
4150 0.000314113 0 0
4250 0.000310517 0 0
4350 0.000307584 0 0
4450 0.000304435 0 0
