# ell TT EE TE
350 0.000526695 0 0
450 0.00036129 0 0
550 0.000277296 0 0
650 0.000220954 0 0
750 0.000183374 0 0
850 0.000158218 0 0
950 0.000139957 0 0
1050 0.00012543 0 0
1150 0.000114755 0 0
1250 0.000105153 0 0
1350 9.82177e-05 0 0
1450 9.26456e-05 0 0
1550 8.76942e-05 0 0
1650 8.34327e-05 0 0
1750 8.03924e-05 0 0
1850 7.69168e-05 0 0
1950 7.41506e-05 0 0
2050 7.16694e-05 0 0
2150 6.94116e-05 0 0
2250 6.76577e-05 0 0
2350 6.56551e-05 0 0
2450 6.41265e-05 0 0
2550 6.30071e-05 0 0
2650 6.16705e-05 0 0
2750 6.05139e-05 0 0
2850 5.91767e-05 0 0
2950 5.82479e-05 0 0
3050 5.72459e-05 0 0
3150 5.65522e-05 0 0
3250 5.59447e-05 0 0
3350 5.50152e-05 0 0
3450 5.41345e-05 0 0
