# ell TT EE TE
350 0.144448 0.000855256 0.00443789
450 0.0615956 0.000511589 -0.00164456
550 0.0521701 0.00021019 -0.000162406
650 0.0288823 0.000468035 -0.000275702
750 0.0246208 0.00031331 -0.00133921
850 0.0204845 0.000134196 -8.03853e-05
950 0.00982616 0.00024961 0.000228592
1050 0.00627957 0.000187504 -0.000361023
1150 0.00565557 7.22577e-05 -0.000152653
1250 0.00345314 0.000101969 -1.94258e-05
1350 0.00259247 8.78926e-05 -0.000181321
1450 0.00233732 3.86309e-05 -8.39548e-05
1550 0.00142516 4.48261e-05 6.31397e-06
1650 0.000909056 4.23847e-05 -5.11202e-05
1750 0.000793491 2.00452e-05 -4.3287e-05
1850 0.000554219 1.72158e-05 -1.1522e-05
1950 0.000388781 1.73312e-05 -2.41072e-05
2050 0.000335009 9.6365e-06 -2.07284e-05
2150 0.000237329 7.23595e-06 -5.56303e-06
2250 0.000155224 7.29565e-06 -7.1816e-06
2350 0.000125282 4.56374e-06 -8.29861e-06
2450 9.53981e-05 2.96384e-06 -3.92556e-06
2550 6.76868e-05 2.79317e-06 -3.46338e-06
2650 5.43182e-05 1.97536e-06 -3.60201e-06
2750 4.14662e-05 1.29155e-06 -1.85606e-06
2850 2.87418e-05 1.1369e-06 -1.22101e-06
2950 2.18273e-05 8.61903e-07 -1.31256e-06
3050 1.71183e-05 5.62531e-07 -8.87812e-07
3150 1.27154e-05 4.48957e-07 -5.97101e-07
3250 9.82432e-06 3.54502e-07 -5.55521e-07
3350 7.68062e-06 2.46669e-07 -3.90715e-07
3450 5.67745e-06 1.90601e-07 -2.43223e-07
