# ell TT
350 0.000371423
450 0.0002496
550 0.000186842
650 0.00014621
750 0.000119503
850 0.000101208
950 8.79628e-05
1050 7.75679e-05
1150 6.97722e-05
1250 6.3092e-05
1350 5.8078e-05
1450 5.4043e-05
1550 5.05203e-05
1650 4.75068e-05
1750 4.52273e-05
1850 4.28743e-05
1950 4.0972e-05
2050 3.92793e-05
2150 3.77292e-05
2250 3.65096e-05
2350 3.52268e-05
2450 3.41795e-05
2550 3.33714e-05
2650 3.25022e-05
2750 3.17308e-05
2850 3.09103e-05
2950 3.02933e-05
3050 2.96466e-05
3150 2.91787e-05
3250 2.87636e-05
3350 2.82069e-05
3450 2.7675e-05
