# ell TT
350 0.000344493
450 0.000230572
550 0.000169616
650 0.00013055
750 0.000105249
850 8.70231e-05
950 7.36867e-05
1050 6.32472e-05
1150 5.51391e-05
1250 4.86265e-05
1350 4.34218e-05
1450 3.91964e-05
1550 3.55786e-05
1650 3.24962e-05
1750 2.9983e-05
1850 2.76935e-05
1950 2.58208e-05
2050 2.41546e-05
2150 2.26034e-05
2250 2.13727e-05
2350 2.02361e-05
2450 1.92016e-05
2550 1.8337e-05
2650 1.75521e-05
2750 1.68156e-05
2850 1.61391e-05
2950 1.55457e-05
3050 1.49656e-05
3150 1.45186e-05
3250 1.41097e-05
3350 1.36745e-05
3450 1.32588e-05
