# ell TT
350 0.000161329
450 9.73811e-05
550 6.76998e-05
650 5.14204e-05
750 4.0495e-05
850 3.45996e-05
950 3.08926e-05
1050 2.82137e-05
1150 2.65223e-05
1250 2.48321e-05
1350 2.39618e-05
1450 2.32911e-05
1550 2.27721e-05
1650 2.22688e-05
1750 2.21142e-05
1850 2.16498e-05
1950 2.13252e-05
2050 2.10583e-05
2150 2.08298e-05
2250 2.06523e-05
2350 2.03633e-05
2450 2.02051e-05
2550 2.01455e-05
2650 1.99414e-05
2750 1.9806e-05
2850 1.95604e-05
2950 1.9452e-05
3050 1.93047e-05
3150 1.92262e-05
3250 1.91639e-05
3350 1.89721e-05
3450 1.87909e-05
