# ell TT EE TE
49.5122 -0.00231796 -2.98693e-06 -7.59131e-05
198.778 0.231796 0.000298693 0.00759131
397.05 0.101086 0.000679547 0.00132328
595.079 0.0398708 0.000336998 -0.000225435
793.108 0.0223368 0.000220626 -0.00070153
991.138 0.00791167 0.000217141 -6.59814e-05
1189.17 0.00449964 8.60889e-05 -8.46397e-05
1387.2 0.00243963 6.24591e-05 -0.000131691
1585.23 0.00115062 4.3263e-05 -2.20033e-05
1783.26 0.0006663 1.83675e-05 -2.70601e-05
1981.29 0.000358081 1.33328e-05 -2.22644e-05
2179.32 0.000193929 7.19445e-06 -6.25349e-06
2377.34 0.000109234 3.71436e-06 -6.04827e-06
2575.37 6.04418e-05 2.35974e-06 -3.50324e-06
2773.4 3.48066e-05 1.2012e-06 -1.51524e-06
2971.43 1.93607e-05 7.04792e-07 -1.08944e-06
3169.46 1.12437e-05 3.9825e-07 -5.7133e-07
3367.49 6.72605e-06 2.17954e-07 -3.1528e-07
3565.52 -3.34638e-08 -1.08437e-09 1.5686e-09
3763.55 1.66491e-10 5.39502e-12 -7.80415e-12
3961.58 -8.28332e-13 -2.68416e-14 3.88276e-14
4159.61 4.12115e-15 1.33543e-16 -1.93177e-16
4357.64 -2.05038e-17 -6.64412e-19 9.61103e-19
4555.67 1.02011e-19 3.30561e-21 -4.78172e-21
4753.94 -5.07544e-22 -1.64467e-23 2.37909e-23
4902.96 5.07544e-24 1.64467e-25 -2.37909e-25
